method,partition,metric,old,new,delta,abs_delta
Swin-B,N5K,drift,1.9,1.8698,-0.0302,0.0302
Swin-S,MTF,sigma,11.7,11.6702,-0.0298,0.0298
FPN-Re,N5K,sigma,10.7,10.6708,-0.0292,0.0292
YOLO,FKIT,sigma,43.4,43.429,0.029,0.029
CCNet-Re,MTF,sigma,21.7,21.6733,-0.0267,0.0267
CCNet,N5K,sigma,4.2,4.1737,-0.0263,0.0263
SeTN,MTF,sigma,15.9,15.9252,0.0252,0.0252
CCNet,MTF,sigma,24.8,24.7854,-0.0146,0.0146
Swin-B,N5K,flicker,0.5,0.4892,-0.0108,0.0108
CCNet-Re,N5K,sigma,4.2,4.2105,0.0105,0.0105
CCNet,FKIT,sigma,31.7,31.7097,0.0097,0.0097
SeTN,N5K,drift,1.2,1.2083,0.0083,0.0083
YOLO,MTF,sigma,40.6,40.6069,0.0069,0.0069
BiRefNet,MTF,sigma,36.7,36.7006,0.0006,0.0006
BiRefNet,N5K,flicker,0.0,0.0,0.0,0.0
Swin-S,N5K,flicker,0.0,0.0,0.0,0.0
CCNet-Re,N5K,flicker,0.0,0.0,0.0,0.0
SeTN,N5K,flicker,0.0,0.0,0.0,0.0
CCNet,N5K,flicker,0.0,0.0,0.0,0.0
SegMan,FKIT,flicker,7.3,,,
FSAM,V&F,continuity,96.6,,,
S+X2,FKIT,drift,0.3,,,
FSAM,V&F,flicker,3.3,,,
S+X2,FKIT,sigma,34.4,,,
FoodMem,N5K,drift,1.0,,,
Seg+S2,V&F,continuity,98.7,,,
Seg+S2,V&F,flicker,1.1,,,
FoodMem,N5K,continuity,99.0,,,
FoodMem,N5K,flicker,0.0,,,
Y+S2,V&F,continuity,98.5,,,
Y+S2,MTF,continuity,99.0,,,
Y+S2,V&F,flicker,1.1,,,
FSAM,MTF,drift,2.7,,,
Y+S2,MTF,flicker,0.9,,,
DEVA,FKIT,sigma,4.8,,,
FSAM,MTF,continuity,97.3,,,
Seg+S2,MTF,drift,0.7,,,
FSAM,MTF,flicker,2.5,,,
Seg+S2,MTF,continuity,99.3,,,
Seg+S2,MTF,flicker,0.4,,,
Seg+S2,FKIT,drift,0.6,,,
Seg+S2,FKIT,continuity,99.4,,,
Seg+S2,FKIT,flicker,0.5,,,
Y+S2,FKIT,drift,0.3,,,
Y+S2,FKIT,continuity,99.7,,,
Y+S2,FKIT,flicker,0.1,,,
Y+X2,FKIT,continuity,99.8,,,
FSAM,FKIT,drift,5.8,,,
FSAM,FKIT,continuity,94.2,,,
FSAM,FKIT,flicker,7.9,,,
Y+X2,N5K,sigma,32.5,,,
Y+X2,V&F,drift,1.6,,,
FoodMem,V&F,drift,1.5,,,
Y+X2,V&F,sigma,19.1,,,
FoodMem,V&F,sigma,19.4,,,
Y+X2,V&F,continuity,98.4,,,
FoodMem,V&F,continuity,98.5,,,
Y+X2,V&F,flicker,1.2,,,
FoodMem,V&F,flicker,1.2,,,
FSAM,V&F,sigma,19.9,,,
Seg+S2,V&F,drift,1.3,,,
Seg+S2,V&F,sigma,19.4,,,
FoodMem,N5K,sigma,2.4,,,
Y+S2,V&F,drift,1.5,,,
Y+S2,MTF,drift,1.0,,,
Y+S2,V&F,sigma,19.1,,,
Y+S2,MTF,sigma,40.3,,,
FSAM,MTF,sigma,32.1,,,
Seg+S2,MTF,sigma,9.9,,,
SegMan,N5K,drift,1.2,,,
SegMan,N5K,continuity,98.8,,,
Y+X2,MTF,drift,0.8,,,
FoodMem,MTF,drift,0.5,,,
SegMan,N5K,flicker,0.0,,,
S+X2,N5K,drift,1.0,,,
Y+X2,MTF,sigma,37.9,,,
FoodMem,MTF,sigma,5.4,,,
Y+X2,MTF,continuity,99.2,,,
FoodMem,MTF,continuity,99.5,,,
Y+X2,MTF,flicker,0.5,,,
FoodMem,MTF,flicker,0.1,,,
S+X2,N5K,continuity,99.0,,,
S+X2,N5K,flicker,0.0,,,
S+X2,V&F,continuity,98.6,,,
S+X2,V&F,flicker,1.2,,,
DEVA,N5K,drift,3.2,,,
DEVA,N5K,sigma,26.6,,,
DEVA,N5K,continuity,96.8,,,
DEVA,V&F,drift,2.7,,,
DEVA,N5K,flicker,3.5,,,
DEVA,V&F,continuity,97.3,,,
DEVA,V&F,flicker,2.5,,,
Seg+S2,FKIT,sigma,28.9,,,
Y+S2,FKIT,sigma,44.9,,,
Y+X2,FKIT,drift,0.2,,,
FoodMem,FKIT,drift,0.3,,,
Y+X2,FKIT,sigma,41.2,,,
FoodMem,FKIT,sigma,29.0,,,
FoodMem,FKIT,continuity,99.7,,,
Y+X2,FKIT,flicker,0.1,,,
FoodMem,FKIT,flicker,0.2,,,
S+X2,MTF,continuity,99.5,,,
FSAM,FKIT,sigma,30.3,,,
S+X2,MTF,flicker,0.1,,,
DEVA,MTF,drift,1.2,,,
BiRefNet,FKIT,drift,0.5,,,
BiRefNet,FKIT,sigma,5.0,,,
DEVA,MTF,continuity,98.8,,,
BiRefNet,FKIT,continuity,99.5,,,
DEVA,MTF,flicker,0.8,,,
BiRefNet,FKIT,flicker,0.2,,,
