method,partition,metric,n_runs,mean,std,min,max
FLMM,MTF,accuracy,5,97.4900,0.0000,97.4900,97.4900
FLMM,VF,mAP,5,35.5600,0.0000,35.5600,35.5600
FLMM,VF,recall,5,45.6700,0.0000,45.6700,45.6700
FLMM,VF,precision,5,35.5600,0.0000,35.5600,35.5600
FLMM,VF,f1,5,37.6900,0.0000,37.6900,37.6900
FLMM,VF,iou,5,33.0100,0.0000,33.0100,33.0100
FLMM,VF,accuracy,5,95.6000,0.0000,95.6000,95.6000
FLMM,FKIT,mAP,5,57.1900,0.0000,57.1900,57.1900
FLMM,FKIT,recall,5,58.3500,0.0000,58.3500,58.3500
FLMM,FKIT,precision,5,57.1900,0.0000,57.1900,57.1900
FLMM,FKIT,f1,5,57.2900,0.0000,57.2900,57.2900
FLMM,FKIT,iou,5,55.0300,0.0000,55.0300,55.0300
FLMM,FKIT,accuracy,5,98.9000,0.0000,98.9000,98.9000
FLMM+S2,N5K,mAP,5,57.3200,0.0000,57.3200,57.3200
FLMM+S2,N5K,recall,5,52.3400,0.0000,52.3400,52.3400
FLMM+S2,N5K,precision,5,57.3200,0.0000,57.3200,57.3200
FLMM+S2,N5K,f1,5,53.4100,0.0000,53.4100,53.4100
FLMM+S2,N5K,iou,5,41.4200,0.0000,41.4200,41.4200
FLMM+S2,N5K,accuracy,5,86.1400,0.0000,86.1400,86.1400
FLMM+S2,MTF,mAP,5,35.2700,0.0000,35.2700,35.2700
FLMM+S2,MTF,recall,5,38.6400,0.0000,38.6400,38.6400
FLMM+S2,MTF,precision,5,35.2700,0.0000,35.2700,35.2700
FLMM+S2,MTF,f1,5,35.1600,0.0000,35.1600,35.1600
FLMM+S2,MTF,iou,5,25.1700,0.0000,25.1700,25.1700
FLMM+S2,MTF,accuracy,5,93.6700,0.0000,93.6700,93.6700
FLMM+S2,VF,mAP,5,40.1000,0.0000,40.1000,40.1000
FLMM+S2,VF,recall,5,47.9900,0.0000,47.9900,47.9900
FLMM+S2,VF,precision,5,40.1000,0.0000,40.1000,40.1000
FLMM+S2,VF,f1,5,32.2900,0.0000,32.2900,32.2900
FLMM+S2,VF,iou,5,21.6400,0.0000,21.6400,21.6400
FLMM+S2,VF,accuracy,5,93.3200,0.0000,93.3200,93.3200
FLMM+S2,FKIT,mAP,5,43.5800,0.0000,43.5800,43.5800
FLMM+S2,FKIT,recall,5,44.0800,0.0000,44.0800,44.0800
FLMM+S2,FKIT,precision,5,43.5800,0.0000,43.5800,43.5800
FLMM+S2,FKIT,f1,5,42.6300,0.0000,42.6300,42.6300
FLMM+S2,FKIT,iou,5,30.5100,0.0000,30.5100,30.5100
FLMM+S2,FKIT,accuracy,5,97.3200,0.0000,97.3200,97.3200
FLMM+S3,N5K,mAP,5,84.9000,0.0000,84.9000,84.9000
FLMM+S3,N5K,recall,5,75.8700,0.0000,75.8700,75.8700
FLMM+S3,N5K,precision,5,84.9000,0.0000,84.9000,84.9000
FLMM+S3,N5K,f1,5,79.0400,0.0000,79.0400,79.0400
FLMM+S3,N5K,iou,5,73.0400,0.0000,73.0400,73.0400
FLMM+S3,N5K,accuracy,5,95.3800,0.0000,95.3800,95.3800
FLMM+S3,MTF,mAP,5,80.0800,0.0000,80.0800,80.0800
FLMM+S3,MTF,recall,5,82.3800,0.0000,82.3800,82.3800
FLMM+S3,MTF,precision,5,80.0800,0.0000,80.0800,80.0800
FLMM+S3,MTF,f1,5,79.6700,0.0000,79.6700,79.6700
FLMM+S3,MTF,iou,5,76.2200,0.0000,76.2200,76.2200
FLMM+S3,MTF,accuracy,5,98.0600,0.0000,98.0600,98.0600
FLMM+S3,VF,mAP,5,44.9600,0.0000,44.9600,44.9600
FLMM+S3,VF,recall,5,55.1200,0.0000,55.1200,55.1200
FLMM+S3,VF,precision,5,44.9600,0.0000,44.9600,44.9600
FLMM+S3,VF,f1,5,46.6500,0.0000,46.6500,46.6500
FLMM+S3,VF,iou,5,38.8100,0.0000,38.8100,38.8100
FLMM+S3,VF,accuracy,5,88.4900,0.0000,88.4900,88.4900
FLMM+S3,FKIT,mAP,5,92.9200,0.0000,92.9200,92.9200
FLMM+S3,FKIT,recall,5,93.5300,0.0000,93.5300,93.5300
FLMM+S3,FKIT,precision,5,92.9200,0.0000,92.9200,92.9200
FLMM+S3,FKIT,f1,5,92.4600,0.0000,92.4600,92.4600
FLMM+S3,FKIT,iou,5,88.5600,0.0000,88.5600,88.5600
FLMM+S3,FKIT,accuracy,5,99.6100,0.0000,99.6100,99.6100
FLMM+X2,N5K,mAP,5,67.2100,0.0000,67.2100,67.2100
FLMM+X2,N5K,recall,5,58.6400,0.0000,58.6400,58.6400
FLMM+X2,N5K,precision,5,67.2100,0.0000,67.2100,67.2100
FLMM+X2,N5K,f1,5,61.6900,0.0000,61.6900,61.6900
FLMM+X2,N5K,iou,5,56.5300,0.0000,56.5300,56.5300
FLMM+X2,N5K,accuracy,5,92.6600,0.0000,92.6600,92.6600
FLMM+X2,MTF,mAP,5,52.4500,0.0000,52.4500,52.4500
FLMM+X2,MTF,recall,5,53.0100,0.0000,53.0100,53.0100
FLMM+X2,MTF,precision,5,52.4500,0.0000,52.4500,52.4500
FLMM+X2,MTF,f1,5,52.6700,0.0000,52.6700,52.6700
FLMM+X2,MTF,iou,5,51.6200,0.0000,51.6200,51.6200
FLMM+X2,MTF,accuracy,5,98.0300,0.0000,98.0300,98.0300
FLMM+X2,VF,mAP,5,22.1700,0.0000,22.1700,22.1700
FLMM+X2,VF,recall,5,43.3100,0.0000,43.3100,43.3100
FLMM+X2,VF,precision,5,22.1700,0.0000,22.1700,22.1700
FLMM+X2,VF,f1,5,26.8600,0.0000,26.8600,26.8600
FLMM+X2,VF,iou,5,20.3700,0.0000,20.3700,20.3700
FLMM+X2,VF,accuracy,5,94.7900,0.0000,94.7900,94.7900
FLMM+X2,FKIT,mAP,5,79.4500,0.0000,79.4500,79.4500
FLMM+X2,FKIT,recall,5,79.6400,0.0000,79.6400,79.6400
FLMM+X2,FKIT,precision,5,79.4500,0.0000,79.4500,79.4500
FLMM+X2,FKIT,f1,5,79.4000,0.0000,79.4000,79.4000
FLMM+X2,FKIT,iou,5,78.1700,0.0000,78.1700,78.1700
FLMM+X2,FKIT,accuracy,5,99.4300,0.0000,99.4300,99.4300
FPN-Re,N5K,mAP,5,85.7900,0.0000,85.7900,85.7900
FPN-Re,N5K,recall,5,96.8100,0.0000,96.8100,96.8100
FPN-Re,N5K,precision,5,85.7900,0.0000,85.7900,85.7900
FPN-Re,N5K,f1,5,90.4800,0.0000,90.4800,90.4800
FPN-Re,N5K,iou,5,83.3000,0.0000,83.3000,83.3000
FPN-Re,N5K,accuracy,5,96.3900,0.0000,96.3900,96.3900
FPN-Re,MTF,mAP,5,69.1000,0.0000,69.1000,69.1000
FPN-Re,MTF,recall,5,87.8100,0.0000,87.8100,87.8100
FPN-Re,MTF,precision,5,69.1000,0.0000,69.1000,69.1000
FPN-Re,MTF,f1,5,73.2600,0.0000,73.2600,73.2600
FPN-Re,MTF,iou,5,63.3700,0.0000,63.3700,63.3700
FPN-Re,MTF,accuracy,5,97.0900,0.0000,97.0900,97.0900
FPN-Re,VF,mAP,5,68.9200,0.0000,68.9200,68.9200
FPN-Re,VF,recall,5,87.1400,0.0000,87.1400,87.1400
FPN-Re,VF,precision,5,68.9200,0.0000,68.9200,68.9200
FPN-Re,VF,f1,5,73.1100,0.0000,73.1100,73.1100
FPN-Re,VF,iou,5,63.3600,0.0000,63.3600,63.3600
FPN-Re,VF,accuracy,5,97.2600,0.0000,97.2600,97.2600
FPN-Re,FKIT,mAP,5,88.9600,0.0000,88.9600,88.9600
FPN-Re,FKIT,recall,5,84.7000,0.0000,84.7000,84.7000
FPN-Re,FKIT,precision,5,88.9600,0.0000,88.9600,88.9600
FPN-Re,FKIT,f1,5,84.3100,0.0000,84.3100,84.3100
FPN-Re,FKIT,iou,5,76.5700,0.0000,76.5700,76.5700
FPN-Re,FKIT,accuracy,5,99.2700,0.0000,99.2700,99.2700
FSAM,N5K,mAP,5,92.4100,0.0000,92.4100,92.4100
FSAM,N5K,recall,5,98.0900,0.0000,98.0900,98.0900
FSAM,N5K,precision,5,92.4100,0.0000,92.4100,92.4100
FSAM,N5K,f1,5,95.0600,0.0000,95.0600,95.0600
FSAM,N5K,iou,5,90.7100,0.0000,90.7100,90.7100
FSAM,N5K,accuracy,5,98.1300,0.0000,98.1300,98.1300
FSAM,MTF,mAP,5,94.3700,0.0000,94.3700,94.3700
FSAM,MTF,recall,5,95.8300,0.0000,95.8300,95.8300
FSAM,MTF,precision,5,94.3700,0.0000,94.3700,94.3700
FSAM,MTF,f1,5,94.5400,0.0000,94.5400,94.5400
FSAM,MTF,iou,5,90.4300,0.0000,90.4300,90.4300
FSAM,MTF,accuracy,5,99.5700,0.0000,99.5700,99.5700
FSAM,VF,mAP,5,67.7000,0.0000,67.7000,67.7000
FSAM,VF,recall,5,89.5700,0.0000,89.5700,89.5700
FSAM,VF,precision,5,67.7000,0.0000,67.7000,67.7000
FSAM,VF,f1,5,72.9000,0.0000,72.9000,72.9000
FSAM,VF,iou,5,63.8200,0.0000,63.8200,63.8200
FSAM,VF,accuracy,5,96.7600,0.0000,96.7600,96.7600
