method,frame,mAP,recall,iou,accuracy
FoodLMM,176,0.0000,0.0000,0.0000,96.5357
FoodLMM,177,0.0000,0.0000,0.0000,96.5964
FoodLMM,178,0.0000,0.0000,0.0000,96.6558
FoodLMM,179,0.0000,0.0000,0.0000,96.6821
FoodLMM,180,99.2204,80.1084,79.6073,99.3207
FoodLMM,181,0.0000,0.0000,0.0000,96.6560
FoodLMM,182,0.0000,0.0000,0.0000,96.5865
FoodLMM,183,0.0000,0.0000,0.0000,96.5042
FoodLMM,184,0.0000,0.0000,0.0000,96.3647
FoodLMM,185,0.0000,0.0000,0.0000,96.2080
FoodLMM,186,0.0000,0.0000,0.0000,96.0402
FoodLMM,187,0.0000,0.0000,0.0000,95.8777
FoodLMM,188,0.0000,0.0000,0.0000,95.6400
FoodLMM,189,0.0000,0.0000,0.0000,95.4023
FoodLMM,190,0.0000,0.0000,0.0000,95.1334
FoodLMM,191,0.0000,0.0000,0.0000,94.8928
FoodLMM,192,0.0000,0.0000,0.0000,94.6124
FoodLMM,193,0.0000,0.0000,0.0000,94.2883
FoodLMM,194,0.0000,0.0000,0.0000,93.9402
FoodLMM,195,0.0000,0.0000,0.0000,93.6558
FoodLMM,196,0.0000,0.0000,0.0000,93.3908
FoodLMM,197,0.0000,0.0000,0.0000,93.2125
FoodLMM,198,0.0000,0.0000,0.0000,92.9910
FoodLMM,199,0.0000,0.0000,0.0000,92.7487
FoodLMM,200,0.0000,0.0000,0.0000,92.4929
FoodLMM,201,100.0000,53.6732,53.6732,96.4355
FoodLMM,202,0.0000,0.0000,0.0000,92.1275
FoodLMM,203,100.0000,33.2932,33.2932,94.6243
FoodLMM,204,0.0000,0.0000,0.0000,91.7519
FoodLMM,205,0.0000,0.0000,0.0000,91.7351
FoodLMM,206,0.0000,0.0000,0.0000,91.8772
FoodLMM,207,0.0000,0.0000,0.0000,92.1359
FoodLMM,208,99.9642,96.3204,96.2871,99.7196
FoodLMM,209,99.2510,67.1527,66.8141,97.5909
FoodLMM,210,99.4662,95.9283,95.4370,99.6855
FoodLMM,211,0.0000,0.0000,0.0000,93.5211
FoodLMM,212,100.0000,80.7387,80.7387,98.8261
FoodLMM,213,0.0000,0.0000,0.0000,94.2371
FoodLMM,214,0.0000,0.0000,0.0000,94.5185
FoodLMM,215,0.0000,0.0000,0.0000,94.8537
FoodLMM,216,0.0000,0.0000,0.0000,95.1497
FoodLMM,217,99.9921,79.3537,79.3488,99.0457
FoodLMM,218,99.9960,81.5738,81.5711,99.1905
FoodLMM,219,0.0000,0.0000,0.0000,95.8190
FoodLMM,220,0.0000,0.0000,0.0000,96.0042
FoodLMM,221,97.9731,38.6316,38.3253,97.5917
FoodLMM,222,44.0252,0.2691,0.2682,96.2337
FoodLMM,223,98.7239,29.6086,29.4957,97.4049
FoodLMM,224,99.8879,92.8935,92.7968,99.7397
FoodLMM,225,99.9730,60.0577,60.0479,98.5762
FoodLMM,226,99.8744,68.5598,68.5007,98.8893
FoodLMM,227,99.6270,56.2660,56.1477,98.4608
FoodLMM,228,99.8896,56.6020,56.5667,98.4919
