method,partition,scene,precision,recall,f1,iou,accuracy
Y+S3,FKIT,chocolate_cake,96.5501,99.5655,98.0324,96.1443,99.8620
Y+S3,FKIT,donut,97.7984,54.6240,69.5807,53.9456,98.1304
Y+S3,FKIT,napolitanas,93.5397,99.9743,96.6421,93.5164,99.8502
Y+S3,FKIT,paxoco_mini,95.3836,94.9680,95.0807,90.7511,99.8571
Y+S3,FKIT,aguacate,93.1118,99.9101,96.3813,93.0304,99.9301
Y+S3,FKIT,banana,91.7084,99.7261,95.5367,91.4690,99.8550
Y+S3,FKIT,chocolate_croissant,97.7834,76.3327,85.4597,75.0054,99.3653
Y+S3,FKIT,french_bread,86.9617,99.3857,91.7259,86.5083,99.5615
Y+S3,FKIT,mini_chocolate_panettone,93.2407,99.4199,96.2054,92.7307,99.7961
Y+S3,FKIT,falafel,90.9320,99.9950,95.2346,90.9275,99.9110
Y+S3,FKIT,lemon,95.0367,99.9623,97.4289,95.0009,99.9219
Y+S3,FKIT,durum,98.2682,99.0953,98.6760,97.3893,99.8871
Y+S3,FKIT,apple,99.6145,98.8784,99.2427,98.4987,99.9405
YOLO,FKIT,orange,71.6026,78.4021,73.8087,71.5859,97.6287
YOLO,FKIT,empanadilla,65.5445,76.6547,69.5620,65.0615,99.0800
YOLO,FKIT,yellow_cane,14.9596,15.8692,14.6592,13.8502,95.4374
YOLO,FKIT,capsicum,73.5622,79.6646,73.8829,70.8432,92.8169
YOLO,FKIT,chocolate_bomb,57.7118,44.3322,44.7227,40.7468,98.1085
YOLO,FKIT,pear,39.3785,49.2441,40.6896,38.7311,76.4948
YOLO,FKIT,samosa,61.8699,71.9954,65.6004,61.8349,98.9308
YOLO,FKIT,apple_pie,65.1832,76.9353,68.8478,65.0385,98.8740
YOLO,FKIT,chocolate_cake,43.0456,47.0521,44.3601,42.6353,95.8278
YOLO,FKIT,donut,91.4254,65.2537,73.6173,62.0563,98.1052
YOLO,FKIT,napolitanas,76.3352,91.4681,81.0412,76.2330,98.3609
YOLO,FKIT,paxoco_mini,64.6727,73.0474,67.3126,63.6138,99.2089
YOLO,FKIT,aguacate,23.7214,31.1539,24.7575,23.6440,76.2583
YOLO,FKIT,banana,41.3152,45.2984,43.0366,40.9859,98.9712
YOLO,FKIT,chocolate_croissant,32.0330,28.1751,26.6485,22.9605,96.4507
YOLO,FKIT,french_bread,78.9211,92.4652,83.1510,78.1569,99.1351
YOLO,FKIT,mini_chocolate_panettone,49.8258,54.9485,51.8291,49.6381,98.5370
YOLO,FKIT,falafel,57.1051,71.1459,59.9643,57.0241,93.8707
YOLO,FKIT,lemon,73.7992,86.6882,76.8272,73.7010,94.2841
YOLO,FKIT,durum,75.7690,71.0695,69.3977,63.3586,97.0434
YOLO,FKIT,apple,95.8404,96.1183,95.7974,94.6725,99.4323
