method,partition,metric,n_runs,mean,std,min,max
FSAM,MTF,flicker,5,4.6393,0.0,4.6393,4.6393
FSAM,MTF,sigma,5,10.9793,0.0,10.9793,10.9793
FSAM,N5K,continuity,5,100.0,0.0,100.0,100.0
FSAM,N5K,drift,5,1.9556,0.0,1.9556,1.9556
FSAM,N5K,flicker,5,0.9759,0.0,0.9759,0.9759
FSAM,N5K,sigma,5,4.6619,0.0,4.6619,4.6619
FSAM,VF,continuity,5,59.1638,0.0,59.1638,59.1638
FSAM,VF,drift,5,12.0818,0.0,12.0818,12.0818
FSAM,VF,flicker,5,21.071,0.0,21.071,21.071
FSAM,VF,sigma,5,30.2542,0.0,30.2542,30.2542
FoodMem,FKIT,continuity,5,92.6403,0.0,92.6403,92.6403
FoodMem,FKIT,drift,5,0.2217,0.0,0.2217,0.2217
FoodMem,FKIT,flicker,5,0.0039,0.0,0.0039,0.0039
FoodMem,FKIT,sigma,5,21.0727,0.0,21.0727,21.0727
FoodMem,MTF,continuity,5,100.0,0.0,100.0,100.0
FoodMem,MTF,drift,5,1.051,0.0,1.051,1.051
FoodMem,MTF,flicker,5,0.5305,0.0,0.5305,0.5305
FoodMem,MTF,sigma,5,5.0789,0.0,5.0789,5.0789
FoodMem,N5K,continuity,5,100.0,0.0,100.0,100.0
FoodMem,N5K,drift,5,0.9138,0.0,0.9138,0.9138
FoodMem,N5K,flicker,5,0.0,0.0,0.0,0.0
FoodMem,N5K,sigma,5,2.3116,0.0,2.3116,2.3116
FoodMem,VF,continuity,5,78.234,0.0,78.234,78.234
FoodMem,VF,drift,5,2.9709,0.0,2.9709,2.9709
FoodMem,VF,flicker,5,3.1243,0.0,3.1243,3.1243
FoodMem,VF,sigma,5,29.5606,0.0,29.5606,29.5606
S+X2,FKIT,continuity,5,36.5154,0.0,36.5154,36.5154
S+X2,FKIT,drift,5,0.3921,0.0,0.3921,0.3921
S+X2,FKIT,flicker,5,0.1537,0.0,0.1537,0.1537
S+X2,FKIT,sigma,5,44.5229,0.0,44.5229,44.5229
S+X2,MTF,continuity,5,39.5492,0.0,39.5492,39.5492
S+X2,MTF,drift,5,1.8133,0.0,1.8133,1.8133
S+X2,MTF,flicker,5,0.9504,0.0,0.9504,0.9504
S+X2,MTF,sigma,5,34.9475,0.0,34.9475,34.9475
S+X2,N5K,continuity,5,97.4194,0.0,97.4194,97.4194
S+X2,N5K,drift,5,1.4595,0.0,1.4595,1.4595
S+X2,N5K,flicker,5,0.0,0.0,0.0,0.0
S+X2,N5K,sigma,5,8.6139,0.0,8.6139,8.6139
S+X2,VF,continuity,5,18.9581,0.0,18.9581,18.9581
S+X2,VF,drift,5,3.0491,0.0,3.0491,3.0491
S+X2,VF,flicker,5,2.9324,0.0,2.9324,2.9324
S+X2,VF,sigma,5,27.5919,0.0,27.5919,27.5919
SC+S2,FKIT,continuity,5,1.5153,0.0,1.5153,1.5153
SC+S2,FKIT,drift,5,1.3637,0.0,1.3637,1.3637
SC+S2,FKIT,flicker,5,0.6888,0.0,0.6888,0.6888
SC+S2,FKIT,sigma,5,13.7079,0.0,13.7079,13.7079
SC+S2,MTF,continuity,5,10.8687,0.0,10.8687,10.8687
SC+S2,MTF,drift,5,7.7913,0.0,7.7913,7.7913
SC+S2,MTF,flicker,5,9.5308,0.0,9.5308,9.5308
SC+S2,MTF,sigma,5,22.8835,0.0,22.8835,22.8835
SC+S2,N5K,continuity,5,44.5292,0.0,44.5292,44.5292
SC+S2,N5K,drift,5,6.1961,0.0,6.1961,6.1961
SC+S2,N5K,flicker,5,10.1634,0.0,10.1634,10.1634
SC+S2,N5K,sigma,5,25.1089,0.0,25.1089,25.1089
SC+S2,VF,continuity,5,3.9832,0.0,3.9832,3.9832
SC+S2,VF,drift,5,3.7881,0.0,3.7881,3.7881
SC+S2,VF,flicker,5,4.2744,0.0,4.2744,4.2744
SC+S2,VF,sigma,5,19.195,0.0,19.195,19.195
SC+S3,FKIT,continuity,5,18.5967,0.0,18.5967,18.5967
SC+S3,FKIT,drift,5,0.8566,0.0,0.8566,0.8566
SC+S3,FKIT,flicker,5,0.5131,0.0,0.5131,0.5131
SC+S3,FKIT,sigma,5,32.5159,0.0,32.5159,32.5159
SC+S3,MTF,continuity,5,86.1229,0.0,86.1229,86.1229
SC+S3,MTF,drift,5,2.1762,0.0,2.1762,2.1762
SC+S3,MTF,flicker,5,2.0487,0.0,2.0487,2.0487
SC+S3,MTF,sigma,5,30.7959,0.0,30.7959,30.7959
SC+S3,N5K,continuity,5,89.4737,0.0,89.4737,89.4737
SC+S3,N5K,drift,5,1.9547,0.0,1.9547,1.9547
SC+S3,N5K,flicker,5,1.7999,0.0,1.7999,1.7999
SC+S3,N5K,sigma,5,24.5099,0.0,24.5099,24.5099
SC+S3,VF,continuity,5,26.0042,0.0,26.0042,26.0042
SC+S3,VF,drift,5,4.2605,0.0,4.2605,4.2605
SC+S3,VF,flicker,5,5.5306,0.0,5.5306,5.5306
SC+S3,VF,sigma,5,39.2484,0.0,39.2484,39.2484
SC+X2,FKIT,continuity,5,31.6909,0.0,31.6909,31.6909
SC+X2,FKIT,drift,5,0.2853,0.0,0.2853,0.2853
SC+X2,FKIT,flicker,5,0.1375,0.0,0.1375,0.1375
SC+X2,FKIT,sigma,5,44.8435,0.0,44.8435,44.8435
SC+X2,MTF,continuity,5,83.9969,0.0,83.9969,83.9969
SC+X2,MTF,drift,5,1.0982,0.0,1.0982,1.0982
SC+X2,MTF,flicker,5,0.0,0.0,0.0,0.0
SC+X2,MTF,sigma,5,37.6608,0.0,37.6608,37.6608
SC+X2,N5K,continuity,5,87.5439,0.0,87.5439,87.5439
SC+X2,N5K,drift,5,1.2498,0.0,1.2498,1.2498
SC+X2,N5K,flicker,5,0.0,0.0,0.0,0.0
SC+X2,N5K,sigma,5,26.1223,0.0,26.1223,26.1223
SC+X2,VF,continuity,5,28.375,0.0,28.375,28.375
SC+X2,VF,drift,5,2.5584,0.0,2.5584,2.5584
SC+X2,VF,flicker,5,2.8079,0.0,2.8079,2.8079
SC+X2,VF,sigma,5,39.2298,0.0,39.2298,39.2298
SETR_MLA,FKIT,continuity,5,91.0388,0.0,91.0388,91.0388
SETR_MLA,FKIT,drift,5,2.8667,0.0,2.8667,2.8667
SETR_MLA,FKIT,flicker,5,2.9962,0.0,2.9962,2.9962
SETR_MLA,FKIT,sigma,5,20.015,0.0,20.015,20.015
SETR_MLA,MTF,continuity,5,98.5804,0.0,98.5804,98.5804
SETR_MLA,MTF,drift,5,2.804,0.0,2.804,2.804
SETR_MLA,MTF,flicker,5,1.7189,0.0,1.7189,1.7189
SETR_MLA,MTF,sigma,5,9.1236,0.0,9.1236,9.1236
SETR_MLA,N5K,continuity,5,100.0,0.0,100.0,100.0
SETR_MLA,N5K,drift,5,1.0387,0.0,1.0387,1.0387
SETR_MLA,N5K,flicker,5,0.0,0.0,0.0,0.0
SETR_MLA,N5K,sigma,5,2.2122,0.0,2.2122,2.2122
SETR_MLA,VF,continuity,5,73.9195,0.0,73.9195,73.9195
SETR_MLA,VF,drift,5,5.5578,0.0,5.5578,5.5578
SETR_MLA,VF,flicker,5,7.5987,0.0,7.5987,7.5987
SETR_MLA,VF,sigma,5,29.7433,0.0,29.7433,29.7433
SF+S2,FKIT,continuity,5,12.4804,0.0,12.4804,12.4804
SF+S2,FKIT,drift,5,4.9808,0.0,4.9808,4.9808
SF+S2,FKIT,flicker,5,3.9821,0.0,3.9821,3.9821
SF+S2,FKIT,sigma,5,22.5148,0.0,22.5148,22.5148
SF+S2,MTF,continuity,5,11.9934,0.0,11.9934,11.9934
SF+S2,MTF,drift,5,8.4644,0.0,8.4644,8.4644
SF+S2,MTF,flicker,5,10.6222,0.0,10.6222,10.6222
SF+S2,MTF,sigma,5,23.3451,0.0,23.3451,23.3451
SF+S2,N5K,continuity,5,55.0225,0.0,55.0225,55.0225
SF+S2,N5K,drift,5,6.8692,0.0,6.8692,6.8692
SF+S2,N5K,flicker,5,13.2417,0.0,13.2417,13.2417
SF+S2,N5K,sigma,5,21.6053,0.0,21.6053,21.6053
SF+S2,VF,continuity,5,5.8289,0.0,5.8289,5.8289
SF+S2,VF,drift,5,8.1619,0.0,8.1619,8.1619
SF+S2,VF,flicker,5,10.634,0.0,10.634,10.634
SF+S2,VF,sigma,5,19.6792,0.0,19.6792,19.6792
SF+S3,FKIT,continuity,5,85.6963,0.0,85.6963,85.6963
SF+S3,FKIT,drift,5,1.0394,0.0,1.0394,1.0394
SF+S3,FKIT,flicker,5,0.7103,0.0,0.7103,0.7103
SF+S3,FKIT,sigma,5,29.1069,0.0,29.1069,29.1069
SF+S3,MTF,continuity,5,92.9648,0.0,92.9648,92.9648
SF+S3,MTF,drift,5,1.1008,0.0,1.1008,1.1008
SF+S3,MTF,flicker,5,0.0387,0.0,0.0387,0.0387
SF+S3,MTF,sigma,5,19.63,0.0,19.63,19.63
SF+S3,N5K,continuity,5,100.0,0.0,100.0,100.0
SF+S3,N5K,drift,5,0.92,0.0,0.92,0.92
SF+S3,N5K,flicker,5,0.0,0.0,0.0,0.0
SF+S3,N5K,sigma,5,2.51,0.0,2.51,2.51
SF+S3,VF,continuity,5,78.375,0.0,78.375,78.375
SF+S3,VF,drift,5,2.6514,0.0,2.6514,2.6514
SF+S3,VF,flicker,5,2.375,0.0,2.375,2.375
SF+S3,VF,sigma,5,29.9332,0.0,29.9332,29.9332
SF+X2,FKIT,continuity,5,91.9873,0.0,91.9873,91.9873
SF+X2,FKIT,drift,5,0.4096,0.0,0.4096,0.4096
SF+X2,FKIT,flicker,5,0.1994,0.0,0.1994,0.1994
SF+X2,FKIT,sigma,5,26.6276,0.0,26.6276,26.6276
SF+X2,MTF,continuity,5,97.9899,0.0,97.9899,97.9899
SF+X2,MTF,drift,5,0.9506,0.0,0.9506,0.9506
SF+X2,MTF,flicker,5,0.0,0.0,0.0,0.0
SF+X2,MTF,sigma,5,12.8562,0.0,12.8562,12.8562
SF+X2,N5K,continuity,5,100.0,0.0,100.0,100.0
SF+X2,N5K,drift,5,0.9058,0.0,0.9058,0.9058
SF+X2,N5K,flicker,5,0.0,0.0,0.0,0.0
SF+X2,N5K,sigma,5,2.4233,0.0,2.4233,2.4233
SF+X2,VF,continuity,5,78.234,0.0,78.234,78.234
SF+X2,VF,drift,5,2.8667,0.0,2.8667,2.8667
SF+X2,VF,flicker,5,3.1243,0.0,3.1243,3.1243
SF+X2,VF,sigma,5,29.9558,0.0,29.9558,29.9558
SeTM+S2,FKIT,continuity,5,14.091,0.0,14.091,14.091
SeTM+S2,FKIT,drift,5,5.3082,0.0,5.3082,5.3082
SeTM+S2,FKIT,flicker,5,4.1054,0.0,4.1054,4.1054
SeTM+S2,FKIT,sigma,5,22.1406,0.0,22.1406,22.1406
SeTM+S2,MTF,continuity,5,12.5345,0.0,12.5345,12.5345
SeTM+S2,MTF,drift,5,8.8797,0.0,8.8797,8.8797
SeTM+S2,MTF,flicker,5,11.3126,0.0,11.3126,11.3126
SeTM+S2,MTF,sigma,5,22.6357,0.0,22.6357,22.6357
SeTM+S2,N5K,continuity,5,54.7,0.0,54.7,54.7
SeTM+S2,N5K,drift,5,6.8608,0.0,6.8608,6.8608
SeTM+S2,N5K,flicker,5,12.9137,0.0,12.9137,12.9137
SeTM+S2,N5K,sigma,5,21.6223,0.0,21.6223,21.6223
SeTM+S2,VF,continuity,5,5.8289,0.0,5.8289,5.8289
SeTM+S2,VF,drift,5,8.1933,0.0,8.1933,8.1933
SeTM+S2,VF,flicker,5,10.2546,0.0,10.2546,10.2546
SeTM+S2,VF,sigma,5,19.6356,0.0,19.6356,19.6356
SeTM+S3,FKIT,continuity,5,91.0084,0.0,91.0084,91.0084
SeTM+S3,FKIT,drift,5,0.5708,0.0,0.5708,0.5708
SeTM+S3,FKIT,flicker,5,0.0067,0.0,0.0067,0.0067
SeTM+S3,FKIT,sigma,5,22.4989,0.0,22.4989,22.4989
SeTM+S3,MTF,continuity,5,99.4695,0.0,99.4695,99.4695
SeTM+S3,MTF,drift,5,1.4886,0.0,1.4886,1.4886
SeTM+S3,MTF,flicker,5,0.2653,0.0,0.2653,0.2653
SeTM+S3,MTF,sigma,5,6.5829,0.0,6.5829,6.5829
SeTM+S3,N5K,continuity,5,100.0,0.0,100.0,100.0
SeTM+S3,N5K,drift,5,0.9437,0.0,0.9437,0.9437
SeTM+S3,N5K,flicker,5,0.0,0.0,0.0,0.0
SeTM+S3,N5K,sigma,5,2.1877,0.0,2.1877,2.1877
SeTM+S3,VF,continuity,5,78.375,0.0,78.375,78.375
SeTM+S3,VF,drift,5,2.6182,0.0,2.6182,2.6182
SeTM+S3,VF,flicker,5,2.375,0.0,2.375,2.375
SeTM+S3,VF,sigma,5,29.6894,0.0,29.6894,29.6894
SeTN,FKIT,continuity,5,78.0507,0.0,78.0507,78.0507
