method,partition,mAP,recall,precision,f1,iou,accuracy,precision_std,recall_std,f1_std,iou_std,accuracy_std,n_scenes
FSAM,VF,67.7,89.57,67.7,72.9,63.82,96.76,20.6,10.93,19.9,22.65,3.08,4
FoodMem,VF,82.63,91.68,82.63,84.28,79.12,98.13,27.77,12.65,25.76,31.24,3.31,4
S+X2,VF,34.33,21.8,34.33,24.76,19.73,96.29,43.2,25.17,29.24,23.06,1.35,4
SC+S2,VF,22.66,26.36,22.66,17.74,12.17,94.38,19.73,35.6,22.66,16.45,1.17,4
SC+S3,VF,38.04,40.89,38.04,35.83,30.99,95.71,44.41,44.63,41.66,39.46,2.51,4
SC+X2,VF,34.25,41.27,34.25,34.9,30.33,95.9,45.32,48.39,44.83,41.9,2.61,4
SETR_MLA,VF,80.01,90.25,80.01,81.85,75.61,97.94,26.7,11.85,24.65,29.37,3.31,4
SF+S2,VF,41.18,48.18,41.18,33.03,22.41,93.5,6.34,20.13,10.6,9.03,0.63,4
SF+S3,VF,83.39,92.27,83.39,84.97,80.28,98.17,28.33,12.78,26.17,31.89,3.34,4
SF+X2,VF,83.04,92.25,83.04,84.75,79.96,98.16,28.17,12.61,26.04,31.68,3.36,4
SeTM+S2,VF,41.18,48.34,41.18,33.13,22.47,93.5,6.24,19.99,10.52,8.98,0.59,4
SeTM+S3,VF,83.09,91.99,83.09,84.7,79.78,98.15,28.03,12.87,26.02,31.63,3.3,4
SeTN,VF,74.04,89.89,74.04,77.5,69.8,97.36,24.72,10.93,22.95,26.9,3.49,4
Seg+S2,VF,23.8,18.87,23.8,14.73,9.67,94.53,25.47,21.81,16.71,11.08,0.85,4
Seg+S3,VF,50.66,41.98,50.66,45.39,41.91,97.09,56.39,48.81,52.46,48.74,2.47,4
SegMan_ADE,VF,32.69,17.15,32.69,21.28,17.1,96.48,42.53,23.08,28.68,23.0,1.55,4
SegMan_COCO,VF,33.45,17.65,33.45,16.21,11.53,95.37,38.25,21.98,17.35,12.27,1.41,4
SegMan_FS,VF,80.43,89.27,80.43,81.55,74.96,97.98,26.53,11.18,24.05,28.55,3.23,4
Swin-B,VF,78.48,89.97,78.48,80.81,73.85,97.8,27.1,11.48,24.75,29.03,3.46,4
Swin-S,VF,72.41,90.37,72.41,76.97,68.76,97.36,24.08,11.49,22.61,25.98,3.41,4
Y+S2,VF,41.03,48.84,41.03,33.3,22.59,93.47,6.02,20.02,10.4,8.89,0.57,4
Y+S3,VF,80.45,92.45,80.45,83.51,77.55,98.05,26.38,12.88,25.2,30.07,3.28,4
Y+X2,VF,81.1,92.0,81.1,83.61,77.86,98.06,26.84,12.57,25.3,30.34,3.3,4
YOLO,VF,47.92,68.92,47.92,52.82,45.5,95.4,8.73,4.05,7.72,11.15,2.43,4
kMean++,VF,41.83,50.4,41.83,41.38,32.64,95.03,27.95,38.18,31.14,26.29,3.24,4
BiRefNet,FKIT,98.65,98.88,98.65,98.69,97.55,99.93,0.81,1.1,0.6,0.98,0.05,21
CCNet,FKIT,91.87,75.96,91.87,79.73,74.28,99.29,12.48,25.88,23.6,25.17,0.87,21
CCNet-Re,FKIT,89.75,86.06,89.75,85.09,79.23,99.28,8.49,16.16,13.58,14.79,0.46,21
DEVA,FKIT,97.61,99.31,97.61,98.35,96.94,99.92,1.74,0.7,0.85,1.43,0.05,21
DoraemonGPT,FKIT,64.05,62.81,64.05,62.2,60.36,99.03,46.46,48.29,47.01,46.37,1.22,21
FLMM,FKIT,57.19,58.35,57.19,57.29,55.03,98.9,21.84,22.49,21.95,21.28,0.64,21
FLMM+S2,FKIT,43.58,44.08,43.58,42.63,30.51,97.32,9.78,9.51,9.6,8.4,0.84,21
FLMM+S3,FKIT,92.92,93.53,92.92,92.46,88.56,99.61,12.07,13.31,12.67,17.18,0.81,21
FLMM+X2,FKIT,79.45,79.64,79.45,79.4,78.17,99.43,39.5,39.94,39.6,39.18,1.11,21
FPN-Re,FKIT,88.96,84.7,88.96,84.31,76.57,99.27,4.61,13.48,10.64,12.83,0.45,21
FSAM,FKIT,89.89,88.48,89.89,86.93,80.3,99.24,6.05,12.44,9.51,12.25,0.52,21
FoodMem,FKIT,96.34,92.53,96.34,92.98,91.44,99.72,11.39,23.3,21.6,22.96,0.87,21
S+X2,FKIT,38.01,35.32,38.01,36.08,34.64,98.52,48.29,45.98,46.8,45.1,1.25,21
SC+S2,FKIT,22.7,8.08,22.7,9.95,6.56,97.5,21.7,13.3,14.82,10.2,1.03,21
SC+S3,FKIT,58.63,21.87,58.63,26.57,21.87,98.06,46.37,32.57,35.46,32.56,1.19,21
SC+X2,FKIT,35.36,31.25,35.36,31.82,30.93,98.4,46.43,45.19,45.83,44.75,1.33,21
SETR_MLA,FKIT,96.97,88.8,96.97,90.88,86.71,99.6,2.66,19.56,16.28,18.84,0.69,21
SF+S2,FKIT,37.94,36.84,37.94,35.79,25.49,97.3,16.0,17.39,16.69,12.97,0.83,21
SF+S3,FKIT,91.55,87.11,91.55,86.88,83.71,99.46,21.17,28.36,26.27,27.13,1.0,21
SF+X2,FKIT,92.62,92.33,92.62,91.55,89.93,99.7,21.41,23.25,22.51,22.69,0.67,21
SeTM+S2,FKIT,42.55,40.48,42.55,39.88,28.5,97.37,12.55,14.34,13.61,11.02,0.83,21
SeTM+S3,FKIT,97.43,90.3,97.43,91.42,89.03,99.66,5.92,24.45,22.43,24.03,0.88,21
SeTN,FKIT,89.83,77.66,89.83,80.48,74.13,99.18,12.05,25.1,22.33,24.04,1.01,21
Seg+S2,FKIT,28.97,8.19,28.97,10.67,6.86,97.52,21.12,11.83,13.84,9.37,0.99,21
Seg+S3,FKIT,73.58,20.96,73.58,27.76,20.94,97.94,41.53,22.61,27.83,22.61,1.19,21
SegMan_ADE,FKIT,41.31,17.01,41.31,21.33,16.6,98.05,29.55,14.59,18.16,14.42,0.82,21
SegMan_COCO,FKIT,55.05,32.45,55.05,36.41,31.67,98.42,29.14,20.31,22.52,20.12,0.88,21
SegMan_FS,FKIT,84.47,82.43,84.47,79.93,74.8,99.15,15.0,27.74,24.84,25.26,0.97,21
Swin-B,FKIT,92.59,88.89,92.59,88.92,83.93,99.51,4.46,13.69,10.81,12.25,0.42,21
Swin-S,FKIT,89.45,82.76,89.45,82.24,76.33,99.21,5.83,21.73,18.0,19.58,0.68,21
Y+S2,FKIT,43.6,41.31,43.6,40.41,28.77,97.33,9.92,13.2,12.2,10.21,0.88,21
Y+S3,FKIT,94.51,92.15,94.51,91.21,86.9,99.66,3.21,20.85,16.84,19.26,0.57,21
Y+X2,FKIT,87.81,89.93,87.81,88.76,87.29,99.68,29.28,29.92,29.55,29.11,0.74,21
YOLO,FKIT,59.7,64.14,59.7,59.5,56.02,95.37,21.26,22.52,21.29,20.51,6.6,21
kMean++,FKIT,47.07,58.66,47.07,45.8,36.79,94.87,23.37,29.61,24.14,22.25,3.45,21
