method,partition,metric,old_value,old_std
SegMan,N5K,sigma,2.3,2.3
SegMan,V&F,sigma,20.2,20.2
SegMan,GLOBAL,continuity,96.7,1.7
SegMan,GLOBAL,flicker,3.9,3.1
SegMan,GLOBAL,drift,3.3,1.7
SegMan,GLOBAL,sigma,15.7,11.3
CCNet,FKIT,continuity,94.8,10.1
CCNet,MTF,continuity,94.9,11.6
CCNet,N5K,continuity,98.6,1.7
CCNet,V&F,continuity,90.8,15.5
CCNet,FKIT,flicker,7.1,0.0
CCNet,MTF,flicker,7.1,0.0
CCNet,N5K,flicker,0.0,0.0
CCNet,V&F,flicker,14.3,0.0
CCNet,FKIT,drift,5.2,10.1
CCNet,MTF,drift,5.1,11.6
CCNet,N5K,drift,1.4,1.7
CCNet,V&F,drift,9.2,15.5
CCNet,FKIT,sigma,31.7,31.7
CCNet,MTF,sigma,24.8,24.8
CCNet,N5K,sigma,4.2,4.2
CCNet,V&F,sigma,29.3,29.3
CCNet,GLOBAL,continuity,94.8,3.2
CCNet,GLOBAL,flicker,7.1,5.8
CCNet,GLOBAL,drift,5.2,3.2
CCNet,GLOBAL,sigma,22.5,12.6
Swin-B,FKIT,continuity,94.4,11.9
Swin-B,MTF,continuity,95.7,10.3
Swin-B,N5K,continuity,98.1,3.6
Swin-B,V&F,continuity,92.5,12.4
Swin-B,FKIT,flicker,8.7,0.0
Swin-B,MTF,flicker,6.6,0.0
Swin-B,N5K,flicker,0.5,0.0
Swin-B,V&F,flicker,11.2,0.0
Swin-B,FKIT,drift,5.6,11.9
Swin-B,MTF,drift,4.3,10.3
Swin-B,N5K,drift,1.9,3.6
Swin-B,V&F,drift,7.5,12.4
Swin-B,FKIT,sigma,21.4,21.4
Swin-B,MTF,sigma,13.5,13.5
Swin-B,N5K,sigma,4.1,4.1
Swin-B,V&F,sigma,22.5,22.5
Swin-B,GLOBAL,continuity,95.2,2.4
Swin-B,GLOBAL,flicker,6.8,4.6
Swin-B,GLOBAL,drift,4.8,2.4
Swin-B,GLOBAL,sigma,15.4,8.5
CCNet-Re,FKIT,continuity,94.3,10.9
CCNet-Re,MTF,continuity,96.9,7.0
CCNet-Re,N5K,continuity,98.5,2.0
CCNet-Re,V&F,continuity,92.7,11.6
CCNet-Re,FKIT,flicker,7.7,0.0
CCNet-Re,MTF,flicker,2.9,0.0
CCNet-Re,N5K,flicker,0.0,0.0
CCNet-Re,V&F,flicker,10.8,0.0
CCNet-Re,FKIT,drift,5.7,10.9
CCNet-Re,MTF,drift,3.1,7.0
CCNet-Re,N5K,drift,1.5,2.0
CCNet-Re,V&F,drift,7.3,11.6
CCNet-Re,FKIT,sigma,26.1,26.1
CCNet-Re,MTF,sigma,21.7,21.7
CCNet-Re,N5K,sigma,4.2,4.2
CCNet-Re,V&F,sigma,25.2,25.2
CCNet-Re,GLOBAL,continuity,95.6,2.6
CCNet-Re,GLOBAL,flicker,5.4,4.8
CCNet-Re,GLOBAL,drift,4.4,2.6
CCNet-Re,GLOBAL,sigma,19.3,10.2
FSAM,FKIT,continuity,94.2,16.1
FSAM,MTF,continuity,97.3,7.3
FSAM,N5K,continuity,98.5,2.0
FSAM,V&F,continuity,96.6,9.4
FSAM,FKIT,flicker,7.9,0.0
FSAM,MTF,flicker,2.5,0.0
FSAM,N5K,flicker,0.0,0.0
FSAM,V&F,flicker,3.3,0.0
FSAM,FKIT,drift,5.8,16.1
FSAM,MTF,drift,2.7,7.3
FSAM,N5K,drift,1.5,2.0
FSAM,V&F,drift,3.4,9.4
FSAM,FKIT,sigma,30.3,30.3
FSAM,MTF,sigma,32.1,32.1
FSAM,N5K,sigma,4.8,4.8
FSAM,V&F,sigma,19.9,19.9
FSAM,GLOBAL,continuity,96.7,1.8
FSAM,GLOBAL,flicker,3.4,3.3
FSAM,GLOBAL,drift,3.3,1.8
FSAM,GLOBAL,sigma,21.8,12.5
SeTN,FKIT,continuity,93.7,10.6
SeTN,MTF,continuity,95.9,8.3
SeTN,N5K,continuity,98.8,1.4
SeTN,V&F,continuity,90.9,14.1
SeTN,FKIT,flicker,8.6,0.0
SeTN,MTF,flicker,2.9,0.0
SeTN,N5K,flicker,0.0,0.0
SeTN,V&F,flicker,15.5,0.0
SeTN,FKIT,drift,6.3,10.6
SeTN,MTF,drift,4.1,8.3
SeTN,N5K,drift,1.2,1.4
SeTN,V&F,drift,9.1,14.1
