method,config,partitions_done,mAP,C_gamma,flicker,drift
FLMM+S2,K60,N5K|VF|MTF,87.0288,84.9119,0.6444,1.7673
FLMM+S2,K30_accept_fresh,N5K|VF|MTF,83.2049,80.8409,0.8432,2.1139
FLMM+S2,K30_union,N5K|VF|MTF,86.2238,87.3958,0.8119,1.9956
SeTM+S3,base,N5K|VF|MTF,94.7760,97.2020,0.1804,1.3168
SeTM+S3,K10,N5K|VF|MTF,94.7647,97.1410,0.2779,1.2716
SeTM+S3,K20,N5K|VF|MTF,94.8123,97.2424,0.2350,1.2500
SeTM+S3,K30,N5K|VF,93.3379,96.0253,0.2920,1.1974
SeTM+S3,K45,N5K|VF,93.2355,96.0270,0.2706,1.2030
SeTM+S3,K60,N5K|VF,93.4016,96.0253,0.2714,1.2029
SeTM+S3,K30_accept_fresh,N5K|VF,93.0320,95.8109,0.3572,1.3605
SeTM+S3,K30_union,N5K|VF,92.2003,95.8083,0.3572,1.4125
Seg+S3,base,N5K|VF|MTF,81.4951,66.2204,0.6796,2.1290
Seg+S3,K10,N5K|VF|MTF,80.6779,64.9872,2.1572,3.8260
Seg+S3,K20,N5K|VF|MTF,80.2520,69.6298,1.3609,2.9677
Seg+S3,K30,N5K|VF,82.7737,74.4895,1.4425,2.6098
Seg+S3,K45,N5K|VF,81.1987,75.4901,0.7826,2.1441
Seg+S3,K60,N5K|VF,81.4335,80.0407,0.6444,2.0104
Seg+S3,K30_accept_fresh,N5K|VF,83.3297,72.8707,1.5803,2.9294
Seg+S3,K30_union,N5K|VF,81.8897,81.6533,0.8612,2.0250
SC+S3,base,N5K|VF|MTF,88.5697,71.7541,0.9908,2.2858
SC+S3,K10,N5K|VF|MTF,91.2472,69.9737,2.5968,4.4484
SC+S3,K20,N5K|VF|MTF,92.1659,73.7108,1.6130,3.2799
SC+S3,K30,N5K|VF,85.7159,60.9460,1.4170,2.6783
SC+S3,K45,N5K|VF,85.7834,64.0845,0.9478,2.3201
SC+S3,K60,N5K|VF,85.4347,61.8182,1.4358,2.8370
SC+S3,K30_accept_fresh,N5K|VF,85.7927,60.2833,1.3336,2.8372
SC+S3,K30_union,N5K|VF,83.2106,66.4737,0.8885,2.1947
SF+S3,base,N5K|VF|MTF,94.7896,95.0337,0.1804,1.1915
SF+S3,K10,N5K|VF|MTF,94.4394,95.6781,0.5269,1.6128
SF+S3,K20,N5K|VF|MTF,94.6431,96.3080,0.4065,1.4267
SF+S3,K30,N5K|VF,93.1336,95.8239,0.3184,1.2772
SF+S3,K45,N5K|VF,93.1721,95.9195,0.2925,1.2871
SF+S3,K60,N5K|VF,93.2117,95.8239,0.3615,1.3696
SF+S3,K30_accept_fresh,N5K|VF,93.3131,95.7631,0.4933,1.3616
SF+S3,K30_union,N5K|VF,92.4746,96.1136,0.3399,1.3241
Y+S3,base,N5K|VF|MTF,90.4223,91.0304,0.2963,1.4661
Y+S3,K10,N5K|VF|MTF,87.3467,84.8166,1.3888,2.8591
Y+S3,K20,N5K|VF|MTF,87.5581,87.0455,0.9030,2.2149
Y+S3,K30,N5K|VF,87.4719,87.3415,0.6628,2.0354
Y+S3,K45,N5K|VF,89.6009,91.1344,0.6536,1.9178
Y+S3,K60,N5K|VF,88.1026,88.0170,0.5964,1.8023
Y+S3,K30_accept_fresh,N5K|VF,87.7859,87.6490,0.8297,2.0577
Y+S3,K30_union,N5K|VF,88.6409,89.5833,0.6811,1.9473
FLMM+S3,base,N5K|VF|MTF,84.7759,84.6685,0.5871,1.9131
FLMM+S3,K10,N5K|VF|MTF,87.6360,87.5836,1.2801,2.2128
FLMM+S3,K20,N5K|VF|MTF,88.9575,90.5166,0.5660,1.5053
FLMM+S3,K30,N5K|VF,85.9571,84.2945,0.9650,2.0351
FLMM+S3,K45,N5K|VF,88.1931,89.2834,0.5923,1.6493
FLMM+S3,K60,N5K|VF,88.4593,89.5648,0.5254,1.5352
FLMM+S3,K30_accept_fresh,N5K|VF,85.6923,83.9817,1.0169,2.0781
FLMM+S3,K30_union,N5K|VF,87.6863,88.4220,0.6777,1.7225
